day_start,day_end,price
16-09-2022,30-09-2022,1029
01-10-2022,07-10-2022,999
08-10-2022,31-10-2022,1029
01-11-2022,10-11-2022,979
11-11-2022,30-11-2022,1029
01-12-2022,08-12-2022,949
09-12-2022,12-12-2022,899
13-12-2022,15-12-2022,999
16-12-2022,31-12-2022,949
01-01-2023,01-03-2023,899
02-03-2023,08-03-2023,889
09-03-2023,15-03-2023,879
16-03-2023,28-04-2023,899
29-04-2023,12-05-2023,829
13-05-2023,23-05-2023,799
24-05-2023,27-05-2023,859
28-05-2023,31-05-2023,829
01-06-2023,06-07-2023,829
07-07-2023,18-07-2023,799
19-07-2023,27-07-2023,829
28-07-2023,08-08-2023,799
09-08-2023,10-09-2023,829
11-09-2023,30-11-2023,799
01-11-2023,10-11-2023,769
11-11-2023,20-01-2024,749
21-01-2024,20-02-2024,729
21-02-2024,27-03-2024,699
23-03-2024,04-04-2024,649
05-04-2024,15-06-2024,699
