Data,Prezzo,Giorni_dal_lancio,Trimestre,Modello
2024-09-13,979.0,0.0,T1,iPhone16
2024-09-14,979.0,1.0,T1,iPhone16
2024-09-15,979.0,2.0,T1,iPhone16
2024-09-16,979.0,3.0,T1,iPhone16
2024-09-17,979.0,4.0,T1,iPhone16
2024-09-18,979.0,5.0,T1,iPhone16
2024-09-19,979.0,6.0,T1,iPhone16
2024-09-20,979.0,7.0,T1,iPhone16
2024-09-21,979.0,8.0,T1,iPhone16
2024-09-22,979.0,9.0,T1,iPhone16
2024-09-23,979.0,10.0,T1,iPhone16
2024-09-24,979.0,11.0,T1,iPhone16
2024-09-25,979.0,12.0,T1,iPhone16
2024-09-26,979.0,13.0,T1,iPhone16
2024-09-27,979.0,14.0,T1,iPhone16
2024-09-28,979.0,15.0,T1,iPhone16
2024-09-29,979.0,16.0,T1,iPhone16
2024-09-30,979.0,17.0,T1,iPhone16
2024-10-01,979.0,18.0,T1,iPhone16
2024-10-02,979.0,19.0,T1,iPhone16
2024-10-03,979.0,20.0,T1,iPhone16
2024-10-04,979.0,21.0,T1,iPhone16
2024-10-05,979.0,22.0,T1,iPhone16
2024-10-06,979.0,23.0,T1,iPhone16
2024-10-07,979.0,24.0,T1,iPhone16
2024-10-08,979.0,25.0,T1,iPhone16
2024-10-09,979.0,26.0,T1,iPhone16
2024-10-10,979.0,27.0,T1,iPhone16
2024-10-11,979.0,28.0,T1,iPhone16
2024-10-12,979.0,29.0,T1,iPhone16
2024-10-13,979.0,30.0,T1,iPhone16
2024-10-14,979.0,31.0,T1,iPhone16
2024-10-15,979.0,32.0,T1,iPhone16
2024-10-16,979.0,33.0,T1,iPhone16
2024-10-17,979.0,34.0,T1,iPhone16
2024-10-18,979.0,35.0,T1,iPhone16
2024-10-19,979.0,36.0,T1,iPhone16
2024-10-20,979.0,37.0,T1,iPhone16
2024-10-21,979.0,38.0,T1,iPhone16
2024-10-22,979.0,39.0,T1,iPhone16
2024-10-23,979.0,40.0,T1,iPhone16
2024-10-24,979.0,41.0,T1,iPhone16
2024-10-25,979.0,42.0,T1,iPhone16
2024-10-26,979.0,43.0,T1,iPhone16
2024-10-27,979.0,44.0,T1,iPhone16
2024-10-28,979.0,45.0,T1,iPhone16
2024-10-29,979.0,46.0,T1,iPhone16
2024-10-30,979.0,47.0,T1,iPhone16
2024-10-31,979.0,48.0,T1,iPhone16
2024-11-01,979.0,49.0,T1,iPhone16
2024-11-02,979.0,50.0,T1,iPhone16
2024-11-03,979.0,51.0,T1,iPhone16
2024-11-04,979.0,52.0,T1,iPhone16
2024-11-05,979.0,53.0,T1,iPhone16
2024-11-06,941.99,54.0,T1,iPhone16
2024-11-07,939.0,55.0,T1,iPhone16
2024-11-08,939.0,56.0,T1,iPhone16
2024-11-09,939.0,57.0,T1,iPhone16
2024-11-10,939.0,58.0,T1,iPhone16
2024-11-11,939.0,59.0,T1,iPhone16
2024-11-12,929.0,60.0,T1,iPhone16
2024-11-13,929.0,61.0,T1,iPhone16
2024-11-14,929.0,62.0,T1,iPhone16
2024-11-15,901.99,63.0,T1,iPhone16
2024-11-16,901.99,64.0,T1,iPhone16
2024-11-17,901.99,65.0,T1,iPhone16
2024-11-18,901.99,66.0,T1,iPhone16
2024-11-19,901.99,67.0,T1,iPhone16
2024-11-20,901.99,68.0,T1,iPhone16
2024-11-21,901.99,69.0,T1,iPhone16
2024-11-22,899.0,70.0,T1,iPhone16
2024-11-23,899.0,71.0,T1,iPhone16
2024-11-24,899.0,72.0,T1,iPhone16
2024-11-25,899.0,73.0,T1,iPhone16
2024-11-26,899.0,74.0,T1,iPhone16
2024-11-27,841.99,75.0,T1,iPhone16
2024-11-28,841.99,76.0,T1,iPhone16
2024-11-29,841.99,77.0,T1,iPhone16
2024-11-30,841.99,78.0,T1,iPhone16
2024-12-01,841.99,79.0,T1,iPhone16
2024-12-02,839.0,80.0,T1,iPhone16
2024-12-03,949.0,81.0,T1,iPhone16
2024-12-04,903.99,82.0,T1,iPhone16
2024-12-05,903.99,83.0,T1,iPhone16
2024-12-06,899.0,84.0,T1,iPhone16
2024-12-07,879.0,85.0,T1,iPhone16
2024-12-08,879.0,86.0,T1,iPhone16
2024-12-09,879.0,87.0,T1,iPhone16
2024-12-10,879.0,88.0,T1,iPhone16
2024-12-11,879.0,89.0,T1,iPhone16
2024-12-12,879.0,90.0,T1,iPhone16
2024-12-13,831.99,91.0,T2,iPhone16
2024-12-14,831.99,92.0,T2,iPhone16
2024-12-15,831.99,93.0,T2,iPhone16
2024-12-16,831.99,94.0,T2,iPhone16
2024-12-17,831.99,95.0,T2,iPhone16
2024-12-18,831.99,96.0,T2,iPhone16
2024-12-19,899.0,97.0,T2,iPhone16
2024-12-20,879.0,98.0,T2,iPhone16
2024-12-21,831.99,99.0,T2,iPhone16
2024-12-22,831.99,100.0,T2,iPhone16
2024-12-23,832.99,101.0,T2,iPhone16
2024-12-24,832.99,102.0,T2,iPhone16
2024-12-25,832.99,103.0,T2,iPhone16
2024-12-26,832.99,104.0,T2,iPhone16
2024-12-27,832.99,105.0,T2,iPhone16
2024-12-28,832.99,106.0,T2,iPhone16
2024-12-29,926.99,107.0,T2,iPhone16
2024-12-30,926.99,108.0,T2,iPhone16
2024-12-31,926.99,109.0,T2,iPhone16
2025-01-01,926.99,110.0,T2,iPhone16
2025-01-02,926.99,111.0,T2,iPhone16
2025-01-03,899.0,112.0,T2,iPhone16
2025-01-04,869.0,113.0,T2,iPhone16
2025-01-05,869.0,114.0,T2,iPhone16
2025-01-06,869.0,115.0,T2,iPhone16
2025-01-07,869.0,116.0,T2,iPhone16
2025-01-08,869.0,117.0,T2,iPhone16
2025-01-09,869.0,118.0,T2,iPhone16
2025-01-10,869.0,119.0,T2,iPhone16
2025-01-11,869.0,120.0,T2,iPhone16
2025-01-12,869.0,121.0,T2,iPhone16
2025-01-13,869.0,122.0,T2,iPhone16
2025-01-14,869.0,123.0,T2,iPhone16
2025-01-15,869.0,124.0,T2,iPhone16
2025-01-16,869.0,125.0,T2,iPhone16
2025-01-17,851.99,126.0,T2,iPhone16
2025-01-18,851.99,127.0,T2,iPhone16
2025-01-19,851.99,128.0,T2,iPhone16
2025-01-20,851.99,129.0,T2,iPhone16
2025-01-21,851.99,130.0,T2,iPhone16
2025-01-22,851.99,131.0,T2,iPhone16
2025-01-23,849.0,132.0,T2,iPhone16
2025-01-24,849.0,133.0,T2,iPhone16
2025-01-25,849.0,134.0,T2,iPhone16
2025-01-26,849.0,135.0,T2,iPhone16
2025-01-27,849.0,136.0,T2,iPhone16
2025-01-28,849.0,137.0,T2,iPhone16
2025-01-29,849.0,138.0,T2,iPhone16
2025-01-30,849.0,139.0,T2,iPhone16
2025-01-31,849.0,140.0,T2,iPhone16
2025-02-01,849.0,141.0,T2,iPhone16
2025-02-02,849.0,142.0,T2,iPhone16
2025-02-03,849.0,143.0,T2,iPhone16
2025-02-04,849.0,144.0,T2,iPhone16
2025-02-05,849.0,145.0,T2,iPhone16
2025-02-06,851.99,146.0,T2,iPhone16
2025-02-07,849.0,147.0,T2,iPhone16
2025-02-08,849.0,148.0,T2,iPhone16
2025-02-09,849.0,149.0,T2,iPhone16
2025-02-10,849.0,150.0,T2,iPhone16
2025-02-11,849.0,151.0,T2,iPhone16
2025-02-12,849.0,152.0,T2,iPhone16
2025-02-13,849.0,153.0,T2,iPhone16
2025-02-14,849.0,154.0,T2,iPhone16
2025-02-15,849.0,155.0,T2,iPhone16
2025-02-16,849.0,156.0,T2,iPhone16
2025-02-17,849.0,157.0,T2,iPhone16
2025-02-18,849.0,158.0,T2,iPhone16
2025-02-19,849.0,159.0,T2,iPhone16
2025-02-20,849.0,160.0,T2,iPhone16
2025-02-21,849.0,161.0,T2,iPhone16
2025-02-22,849.0,162.0,T2,iPhone16
2025-02-23,849.0,163.0,T2,iPhone16
2025-02-24,849.0,164.0,T2,iPhone16
2025-02-25,849.0,165.0,T2,iPhone16
2025-02-26,849.0,166.0,T2,iPhone16
2025-02-27,829.0,167.0,T2,iPhone16
2025-02-28,829.0,168.0,T2,iPhone16
2025-03-01,849.0,169.0,T2,iPhone16
2025-03-02,849.0,170.0,T2,iPhone16
2025-03-03,849.0,171.0,T2,iPhone16
2025-03-04,849.0,172.0,T2,iPhone16
2025-03-05,849.0,173.0,T2,iPhone16
2025-03-06,849.0,174.0,T2,iPhone16
2025-03-07,849.0,175.0,T2,iPhone16
2025-03-08,849.0,176.0,T2,iPhone16
2025-03-09,849.0,177.0,T2,iPhone16
2025-03-10,849.0,178.0,T2,iPhone16
2025-03-11,849.0,179.0,T2,iPhone16
2025-03-12,849.0,180.0,T2,iPhone16
2025-03-13,849.0,181.0,T3,iPhone16
2025-03-14,829.0,182.0,T3,iPhone16
2025-03-15,829.0,183.0,T3,iPhone16
2025-03-16,829.0,184.0,T3,iPhone16
2025-03-17,829.0,185.0,T3,iPhone16
2025-03-18,829.0,186.0,T3,iPhone16
2025-03-19,829.0,187.0,T3,iPhone16
2025-03-20,819.0,188.0,T3,iPhone16
2025-03-21,779.0,189.0,T3,iPhone16
2025-03-22,779.0,190.0,T3,iPhone16
2025-03-23,779.0,191.0,T3,iPhone16
2025-03-24,779.0,192.0,T3,iPhone16
2025-03-25,779.0,193.0,T3,iPhone16
2025-03-26,779.0,194.0,T3,iPhone16
2025-03-27,779.0,195.0,T3,iPhone16
2025-03-28,779.0,196.0,T3,iPhone16
2025-03-29,779.0,197.0,T3,iPhone16
2025-03-30,779.0,198.0,T3,iPhone16
2025-03-31,779.0,199.0,T3,iPhone16
2025-04-01,779.0,200.0,T3,iPhone16
2025-04-02,779.0,201.0,T3,iPhone16
2025-04-03,779.0,202.0,T3,iPhone16
2025-04-04,779.0,203.0,T3,iPhone16
2025-04-05,779.0,204.0,T3,iPhone16
2025-04-06,779.0,205.0,T3,iPhone16
2025-04-07,779.0,206.0,T3,iPhone16
2025-04-08,799.0,207.0,T3,iPhone16
2025-04-09,799.0,208.0,T3,iPhone16
2025-04-10,799.0,209.0,T3,iPhone16
2025-04-11,799.0,210.0,T3,iPhone16
2025-04-12,799.0,211.0,T3,iPhone16
2025-04-13,799.0,212.0,T3,iPhone16
2025-04-14,799.0,213.0,T3,iPhone16
2025-04-15,799.0,214.0,T3,iPhone16
2025-04-16,799.0,215.0,T3,iPhone16
2025-04-17,799.0,216.0,T3,iPhone16
2025-04-18,799.0,217.0,T3,iPhone16
2025-04-19,799.0,218.0,T3,iPhone16
